SERIES_CODE,שם סדרה,FREQ,תדירות,DATA_TYPE,סוג נתון,INSTR_ASSET,סוג מכשיר,REF_AREA,מדינה,REF_SECTOR,מגזר,COUNTERPART_AREA,אזור נגדי,COUNTERPART_SECTOR,מגזר נגדי,BASE_CURRENCY,מטבע בסיס,BASE_ASSET,נכס בסיס,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MEASURE,יחידות מידה,UNIT_MULT,מכפיל יחידות,NET_GROSS,נטו_ברוטו,COUNTER_CURRENCY,מטבע נגדי,TIME_TO_MATURITY,טווח לפדיון,TIME_PERIOD,OBS_VALUE
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-01-25,30.8623
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-01-28,14.7266109463467
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-01-29,160.634363784281
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-01-30,10.6
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-01-31,154.301669689655
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-02-01,70
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-02-04,150.765985893236
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-02-05,47.6455624943166
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-02-06,60.074585
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-02-07,40.53463
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-02-08,15
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-02-11,159.839062222775
WEB_TV_OPTN_IL_LB,נפח מסחר באופציות של בנקים מקומיים (ממוצע יומי),D,יומי,NAT,נפח מסחר,F711A,אופציות,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,W2,ישראל,S122_X_FB_L,בנקים מקומיים למעט סניפים של בנקים זרים בישראל,_X,לא מוגדר באופן ספציפי,FX,"מט""ח",BOI_IS,בנק ישראל - חטיבת מידע וסטטיסטיקה,A,ממוצע התצפיות לאורך התקופה,F,לא סודי,USD,דולרים,6,מיליונים,GRS_R,ברוטו - כולל החזרות,ILS,"ש""ח",_X,לא מוגדר באופן ספציפי,2008-02-12,76.576905528344
