SERIES_CODE,שם סדרה,FREQ,תדירות,IR_FV_TYPE,סוג ריבית,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MEASURE,יחידות מידה,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-22,11.4
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-23,11.36
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-24,11.32
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-25,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-26,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-27,11.2
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-28,11.07
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-29,11.09
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-30,11.05
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-31,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-01,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-02,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-03,11.04
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-04,11.04
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-05,11.06
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-06,11.06
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-07,11.08
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-08,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-09,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-10,11.01
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-11,10.97
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-12,10.9
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-13,10.86
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-14,10.86
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-15,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-16,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-17,10.81
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-18,10.78
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-19,10.76
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-20,10.76
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-21,10.72
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-22,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-23,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-24,10.69
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-25,10.69
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-26,10.68
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-27,10.66
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-28,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-29,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-30,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-01-31,10.64
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-01,10.63
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-02,10.62
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-03,10.6
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-04,10.6
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-05,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-06,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-07,10.59
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-08,10.58
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-09,10.58
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-10,10.56
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-11,10.58
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-12,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-13,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-14,10.56
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-15,10.55
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-16,10.5
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-17,10.45
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-18,10.43
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,2000-02-19,
